movie_id,plot,reference_summary,genre
1090927,"After the decline in Atlantean culture following the sinking, Kida , now Queen, and married to Milo Thatch, is using the heart of Atlantis to restore her city's former glory. Suddenly, Milo's comrades and Mr. Whitmore arrive in Atlantis; while their arrival is unexpected, the Atlanteans welcome their old friends. Unfortunately, they have come to inform them of mysterious forces causing trouble on the surface. They arrive in Norway and discover it is actually a creature known as the Kraken, which had been attacking shipping freighters and taking their cargo to a cliffside village. At first they presume it to be an ancient Atlantean defense mechanism gone rogue , but they discover that the town magistrate, Edgar Volgud, seems to be controlling the Kraken. They soon learn, though, that the Kraken itself is the master, having made a deal with Volgud. When they blow up the Kraken, the man disintegrates and restores the spirit of the village. All the while, Kida is learning about the outside world and is adapting well. However, she still feels guilty, as there could still be other Atlantean war machines in the world causing problems, like the Leviathan. Their next mystery is in the Southwestern United States, involving coyote spirits opposing them. They later find a hidden city in Arizona contains a statue that greatly resembles Atlantean architecture. Unfortunately, a very sly shop owner, Ashton Carnaby, intends to pillage the place for its valuables, but the spirits then turn him into one of them. A Native American man, who was a medium to the spirits, trusts them with the knowledge of their sanctuary and informs Kida that she can choose Atlantis' destiny. Returning home, the adventurers discover that one of Whitmore's old competitors, Erik Hellstrom, believing himself to be the Norse god Odin, stole one of his possessions, an ancient spear called the Gungnir, presumably an artifact of Atlantean origin. When they track him down in the frigid Nordic Mountains, he presumes Kida to be his long lost daughter and kidnaps her. His intentions are to end the world in Ragnarok. He creates a lava beast and then an ice beast to destroy the world, but well-placed explosives used by Vinnie distract the monsters long enough for Kida to retrieve the spear and vanquish the beasts. During these escapades, Kida comes into a greater understanding of just how powerful the Atlantean Crystal is, and that she must choose between hiding it and sharing it with the rest of mankind. Having retrieved the spear, Kida realizes her father was wrong to hide the Crystal from mankind. She combines the Spear with the Heart Crystal and lifts Atlantis to the surface. Two fishermen are shocked when they suddenly see an entire continent rise before them. In the end, we see Atlantis above the water for the first time in over nine-thousand years. Mr. Whitmore narrates that from then on, the world was a better place.","After the decline in Atlantean culture following the sinking, Kida , now Queen, and married to Milo Thatch, is using the heart of Atlantis to restore her city's former glory. Suddenly, Milo's comrades and Mr. Whitmore arrive in Atlantis; while their arrival is unexpected, the Atlanteans welcome their old friends.",Adventure
6701484,"Dhanush belongs to a lower-middle-class family and is irresponsible and untrustworthy. Chaya Singh is from a Telugu Traditional family and is an ambitious and career-oriented girl. Dhanush and Chaya Singh meet up and one day, Dhanush follows her on her two wheeler. She is so bugged by him that she fails to notice a vehicle ahead. Though he cautions her, she ends up having an accident. Dhanush admits her in hospital, but Chaya Singh holds him responsible for her accident. Both of them are at loggerheads and bicker constantly. Dhanush leaves for Chennai in order to prove himself to his Dad who is constantly criticising his irresponsibility. Meanwhile, Chaya Singh gets a job at Chennai and moves into the same apartment complex as Dhanush. The rest of the story follows Dhanush's progress and deals with relationship between Dhanush and Chaya Singh and whether or not their attitude for each other changed. Chaya Singh falls in love with Dhanush but for some reason he acts to hate her. in the middle something happens and they both end up loving each other and Dhanush got back together with his family.","Dhanush belongs to a lower-middle-class family and is irresponsible and untrustworthy. Chaya Singh is from a Telugu Traditional family and is an ambitious and career-oriented girl. Dhanush and Chaya Singh meet up and one day, Dhanush follows her on her two wheeler. She is so bugged by him that she",Romance Film
21167582,"American Harmony provides an in-depth look at the amazingly rich subculture of a true American art form. It follows the lives of some of the biggest names to emerge from international competition in the Society’s history, as well as providing interviews with many rank-and-file members, referred to as “Joe Barbershoppers.” The film features four prominent Barbershop Society quartets: OC Times, Max Q, Vocal Spectrum, and Reveille – over a span of years, on stage and at home, in their personal quests for international recognition. ""The film is a mixture of obsession, singing, zany comedy and nail-biting competition"", according to writer/director, Aengus James.  The film was theatrically released in April, 2009, and eventually made its way to 30 markets during 2009/2010. There is a Google pin map showing the markets where the film had a theatrical release.  The DVD was made available in June 2010 through Abramorama, and re-released in September 2011 through Breaking Glass Pictures.  See reviews below: * Variety * The Film Talk * Moving Pictures Magazine * and awards * Winner: Best Documentary at the 2009 [http://www.sdff.org/awardwinners.html San Diego Film Festival * Winner of the 2009 Honolulu Film Festival Silver Lei Award. * Nominated for the 2008 International Documentary Association Best Music Documentary Award. * Official selection for the Nashville Film Festival - Apr 16-23, 2009. * Official selection for the Boulder International Film Festival - Feb 12-15, 2009. * Official selection and Second Place Audience Choice award for the Sedona International Film Festival - Feb 24 - Mar 1, 2009. * Official selection for the Waterfront Film Festival - June, 2009. * Official selection for the Three Rivers Film Festival - Nov 6-21, 2009.","American Harmony provides an in-depth look at the amazingly rich subculture of a true American art form. It follows the lives of some of the biggest names to emerge from international competition in the Society’s history, as well as providing interviews with many rank-and-file members, referred to as “Joe Barbershoppers.”",Documentary
129602,"In 1969, Dr. Malcolm Sayer  is a dedicated and caring physician at a local hospital in the New York City borough of The Bronx. After working extensively with the catatonic patients who survived the 1917-1928 epidemic of encephalitis lethargica, Sayer discovers certain stimuli will reach beyond the patients' respective catatonic states; actions such as catching a ball thrown at them, hearing familiar music, and experiencing human touch all have unique effects on particular patients and offer a glimpse into their worlds. Leonard Lowe  proves elusive in this regard, but Sayer soon discovers that Leonard is able to communicate with him by using a Ouija board. After attending a lecture at a conference on the subject of the L-Dopa drug and its success with patients suffering from Parkinson's Disease, Sayer believes the drug may offer a breakthrough for his own group of patients. A trial run with Leonard Lowe yields astounding results as Leonard completely ""awakens"" from his catatonic state; this success inspires Sayer to ask for funding from donors so that all the catatonic patients can receive the L-Dopa medication and experience ""awakenings"" back to reality. Meanwhile, Leonard is adjusting to his new life and becomes romantically interested in Paula , the daughter of another hospital patient and begins spending time with her when she comes to the hospital to visit her father. Leonard also begins to chafe at the restrictions placed upon him as a patient of the hospital, desiring the freedom to come and go as he pleases and stirs up a bit of a revolt in the process of arguing his case repeatedly to Sayer and the hospital administration. Sayer notices that as Leonard grows more agitated battling administrators and staff about his perceived confinement, a number of facial and body tics are starting to manifest and Leonard has difficulty controlling them. While Sayer and the hospital staff continue to delight in the success of L-Dopa with this group of patients, they soon find that it is a temporary measure. As the first to ""awaken"", Leonard is also the first to demonstrate the limited duration of this period of ""awakening"". Leonard's tics grow more and more prominent and he starts to shuffle more as he walks, and all of the patients are forced to witness what will eventually happen to them. He soon begins to suffer full body spasms and can hardly move. Leonard, however, puts up well with the pain, and asks Sayer to film him, in hopes that he would some day contribute to research that may eventually help others. Leonard acknowledges sadly what is happening to him and has a last lunch with Paula where he tells her he cannot see her anymore. When he is about to leave, Paula dances with him, and for this short period of time his spasms disappear. Leonard and Dr. Sayer reconcile their differences, but Leonard returns to his catatonic state soon after. The other patients' fears are similarly realized as each eventually returns to catatonia no matter how much their L-Dopa dosages are increased. Sayer tells a group of grant donors to the hospital that although the ""awakening"" did not last, another kind — one of learning to appreciate and live life — took place. For example, he himself, who has always been lonely, decides to go on a date with one of the nurses. The nurses now treat the catatonic patients once again with more respect and care, and Paula is shown visiting Leonard. The film ends with Sayer standing over Leonard behind a Ouija board, with his hands on Leonard's hands which man the planchette. ""Let's begin,"" Sayer says.","In 1969, Dr. Malcolm Sayer is a dedicated and caring physician at a local hospital in the New York City borough of The Bronx. After working extensively with the catatonic patients who survived the 1917-1928 epidemic of encephalitis lethargica, Sayer discovers certain stimuli will reach beyond the patients' respective catatonic",Drama
24225279,"The story begins with Hannah, a young Jewish teen, as she is completing her senior year of high school. Her small neighborhood in Brooklyn is falling apart and SING! is one of the only traditions keeping the neighborhood alive. Newly arrived teacher, Miss Lombardo grew up in the neighborhood but returned to be their Sing Leader. One cold Christmas night, Miss Lombardo is leaving a neighborhood party when a young man hails her a cab, then attempts to mug her. In self defense, she bites his hand to release his grip and he screams in pain and terror, quickly making an exit. The cab driver jokes about not starting the meter yet. On the first day of school, Miss Lombardo runs into difficulty when her students are uninterested and misbehaved. One such student was named Dominic who gets scolded for bringing stolen watches to school grounds and putting his feet up on the desk. On the day of Sing Leader elections, Miss Lombardo recognizes Dominic as her mugger by the bandage on his hand and decides to blackmail him into being co-Sing Leader of the Senior class along with Hannah, who was rightfully elected. The school kids work hard to plan their Sing productions. Hannah and Dominic clash along the way as Hannah uses traditional Sing planning strategies while Dominic wants to introduce the flavor of the youth in the neighborhood. In order to put Dominic and Hannah on the same page, Miss Lombardo suggests that Hannah accompany Dominic to a local club. At first, the two are equally hesitant but Hannah agrees on the terms that it is not a date. However, by the end of the night, Hannah uses Dominic to make her ex boyfriend, Mickey, jealous, and due to this, Hannah and Dominic start seeing each other in a different light. Dominic accompanies Hannah on her walk home and the two share a romantic kiss. Once the two are finally uniting and getting along, the Dept. of Education informs the school that it will close its doors forever at the end of this semester and therefore, there will not be enough resources for them to complete this year's Sing. This fuels the kids to work even harder on their productions and the neighborhood comes together even more to help finance the show, despite the school authorities' ban. Ironically, just as things are starting to look up, Dominic reluctantly accompanies his brother on a robbery of Hannah's mother's diner, their sole source of income which already was at risk of failure due to the school's upcoming closure. A classmate saw Dominic standing outside the diner at the time of the crime and informed Hannah of what he saw. Devastated, Hannah confronts Dominic and he promises to get the money back for her. He then steals the money back from his brother and returns it to the diner, restoring Hannah's faith in him. The recent events had discouraged Dominic from fulfilling his co-Sing leader duties and he had been skipping out on rehearsals. In a moment of great need as the senior's main performer falls unconscious, Dominic steps in to save the show. He sheds his bad-boy demeanor and exceeds all expectations. The underclassmen and seniors perform to a record-high sold out audience. At the end of the show, Hannah makes a moving speech motivating the community to rejoice and always remember that despite compromising circumstances, they completed a successful Sing and proved their community's worth.","The story begins with Hannah, a young Jewish teen, as she is completing her senior year of high school. Her small neighborhood in Brooklyn is falling apart and SING! is one of the only traditions keeping the neighborhood alive. Newly arrived teacher, Miss Lombardo grew up in the neighborhood but",Drama
2531044,"Set in 1953, the film explores the budding relationship between Billy Joe McAllister  and Bobbie Lee Hartley  , despite resistance from Hartley's family, who contend she is too young to date. One night at a jamboree, McAllister gets drunk and seems nauseous and confused when entering a makeshift whorehouse behind the gathering. It turns out that in his inebriated state, he had sex with another man, later revealed to be his sawmill boss, Dewey Barksdale . After disappearing for days, he returns to bid an enigmatic goodbye to Bobbie Lee. Overcome with guilt, Billy Joe subsequently kills himself by jumping off the bridge spanning the Tallahatchie River. In the film's final scene, Bobbie Lee meets Dewey on the bridge as she is leaving town, and he guiltily confesses to her that he was the man. She tells Barksdale, who is on his way to her house to confess to her father, that the town already suspects that she is carrying Billy Joe's baby and that it would do no good for Barksdale to confess now. Agreeing with the girl's logic, Barksdale offers Bobbie Lee a ride to the bus station, which she courteously accepts.","Set in 1953, the film explores the budding relationship between Billy Joe McAllister and Bobbie Lee Hartley , despite resistance from Hartley's family, who contend she is too young to date. One night at a jamboree, McAllister gets drunk and seems nauseous and confused when entering a makeshift whorehouse behind",LGBT
23047425,"On April 5, 2007, a couple married in a church. At first glance, it was a typical wedding. The bride, however, was suffering from late-stage breast cancer and had been given only a month to live.","On April 5, 2007, a couple married in a church. At first glance, it was a typical wedding. The bride, however, was suffering from late-stage breast cancer and had been given only a month to live.",Japanese Movies
924115,"The film is about a Turkmenian who defends his homeland from invasion. He is captured, tortured, and brainwashed into serving his homeland's conquerors. He is so completely turned that he kills his mother when she attempts to rescue him from captivity.","The film is about a Turkmenian who defends his homeland from invasion. He is captured, tortured, and brainwashed into serving his homeland's conquerors. He is so completely turned that he kills his mother when she attempts to rescue him from captivity.",Drama
27539366,"The military sees itself only in Outpost being confronted with an overwhelming essence. Tom and Vic are military technicians, and video game freaks, smuggle a top-secret, virtual warfare program in a disused prison, there to experiment with them. But what should first be a cool thrill, becomes a deadly reality, a vengeful nature has manipulated the software and kidnapped all acting in the real world. When their companion Jess hears of this case, it begins a seemingly hopeless rescue mission and is also drawn into this virtual world, which can be just as deadly as real war. In the final level of this game, death awaits!{{cite web}}","The military sees itself only in Outpost being confronted with an overwhelming essence. Tom and Vic are military technicians, and video game freaks, smuggle a top-secret, virtual warfare program in a disused prison, there to experiment with them. But what should first be a cool thrill, becomes a deadly reality,",Thriller
33060580,"A year after 17-year-old Yuval leaves home in Israel to attend the United World College in Mostar, Bosnia-Herzegovina, filmmaker David Fisher, his father, follows. During three Round-Trips to Mostar, Yuval’s relationships unfold: between him and his father, his Israeli peers and his Spanish girlfriend, Neus. These stories are set against the backdrop of this college, situated on what used to be the frontline between the Croatians and the Bosniaks, during the civil war that ended in 1995. Although Yuval is far from home, this actually brings father and son closer together. Their talks reveal great honesty, maturity and openness towards one another. Yuval’s roommate is Salam, an Israeli Arab, with whom he holds passionate political debates. Salam is a “playboy” and a charmer, so it’s no wonder Yuval brings him a sugar cube to bed, one morning after a bitter fight they had over Middle Eastern politics. With them are also Niv, who talks very honestly about his encounter with Arab peers, stating that back home the word “Arab” is used in a derogative way amongst his friends, a fact he is now ashamed of; and Niva – she just wants to be an actress and doesn’t know what to expect from her army service. The film is filled with John Hughes-like scenes of the life of these youngsters at the college, but with the ironic setting of a city that a lot of the time reminds them of home. Yuval’s affair with Neus is heart-warming but doomed - because of Yuval’s impending army service. This is during the Gaza War back home and Yuval voices his apprehension about the way the Israeli army is operating. At the end of this journey, David, as well as the viewers, will understand that Yuval and his peers' intense two years in Mostar have actually prepared them for a mature and challenging life as grownups.","A year after 17-year-old Yuval leaves home in Israel to attend the United World College in Mostar, Bosnia-Herzegovina, filmmaker David Fisher, his father, follows. During three Round-Trips to Mostar, Yuval’s relationships unfold: between him and his father, his Israeli peers and his Spanish girlfriend, Neus. These stories are set against",Family Film
